nom;prenom;identifiant_lc;domaine
Roujon;Joseph Henry;PQ2389.R4 M5 1895;litterature
Roussel;Raymond;PQ2635.O96168 I5 1972;litterature
Rouveyre;André;PQ2601.P6 Z75;litterature
Ruskin;John;[PR5250-5268];litterature
Sade, de;Donatien Alphonse François;PQ2063.S3;litterature
Sainte-Beuve;Charles Augustin;PQ2391.A1-Z7;litterature
Saint-Pol-Roux;;PQ2635.O9628;litterature
Salmon;André;PQ2637.A55;litterature
Sand;George;[PQ2393-2420];litterature
Schuré;Edouard;PQ2423.S6;litterature
Schwob;Marcel;PQ2423.S8;litterature
Séché;Léon;PQ2427.S2;litterature
Segalen;Victor;PQ2637.E33 I54 1966;litterature
Seillière;Ernest-Antoine Aimé Léon;B2430.S4-.S44;litterature
Shakespear;William;PG7083.S49;litterature
Soulié;Melchior Fréderic;PQ2429.S5;litterature
Souvestre;Charles Emile;PQ2429.S7;litterature
Stein;Gertrude;PS3537.T323;litterature
Stendhal;;PQ2435-2444;litterature
Stevenson;Robert Louis;[PR5480-5498];litterature
Strindberg;Auguste;[PT9799.2-9817];litterature
Suarès;André;PQ2637.U2;litterature
Surville;Laure;PQ2178 .S9;litterature
Swinburne;Algernon Charles;PR5500-5518;litterature
Sylva;Carmen;PQ2237.E25 P4 1998;litterature
Symonds;John Addington;PR5520-5523;litterature
Taine;Hippolyte;PQ2449.T3;litterature
Tharaud;Jérôme;PQ2639.H13;litterature
Tharaud;Jean;PQ2639.H13;litterature
Thibaudet;Albert;PQ2247 .T5 1935;litterature
Tinan, de;Jean;PQ2450.T67;litterature
Tissot;Victor;DB854 .T61;litterature
Turgenev/Tourgueniev/Tourguénev;Ivan;[PG3420-3445];litterature
Turquety;Edouard;PQ2452.T877 A6 1861;litterature
Turquéty;Edouard;PQ2452.T877 A6 1861;litterature
Twain;Mark;PS1300-1348;litterature
Ulbach;Louis;PQ2454.U5;litterature
Uzanne;Louis Octave;PQ2454.U8;litterature
Valera y Alcalá Galiano;Juan;PQ6573;litterature
Valéry;Paul;PQ2643.A26;litterature
Vallès;Jules;PQ2458.V7;litterature
Vaudoyer;Jean-Louis;PQ2643.A7;litterature
